nodes_table_size,root_table_size,poids_table_size,db_size,nodes_count,root_count,poids_count,tree_build_time
294912,65536,237568,9847299,1022,2,512,1.7860616999969352
516096,98304,409600,10469891,2044,4,1024,1.142529500008095
745472,98304,557056,11100675,3066,6,1536,1.0205839999980526
942080,106496,737280,11674115,4088,8,2048,0.8909253000019817
1245184,114688,901120,12427779,5110,10,2560,0.9026546999957645
1409024,114688,1056768,12927491,6132,12,3072,0.8951280000037514
1605632,122880,1245184,13509123,7154,14,3584,0.8866303999966476
1785856,131072,1392640,14049795,8176,16,4096,1.0025453000125708
1966080,131072,1490944,14660399,9198,18,4608,0.9209645999944769
2400256,139264,1490944,15520559,10220,20,5120,0.8529450999922119
2580480,147456,1515520,15921967,11242,22,5632,1.0396208000020124
2752512,147456,1531904,16266031,12264,24,6144,1.1409240999928443
2957312,155648,1671168,16855855,13286,26,6656,0.934593899990432
3162112,163840,1843200,17421103,14308,28,7168,1.0631082000036258
3342336,163840,2015232,17929007,15330,30,7680,1.0506850999954622
3522560,172032,2195456,18494255,16352,32,8192,1.05344590000459
3710976,180224,2334720,18977583,17374,34,8704,1.0294850999925984
3891200,180224,2334720,19346223,18396,36,9216,0.9839039000071352
4063232,188416,2342912,19698479,19418,38,9728,0.9286780999973416
4775936,196608,2367488,21115695,20440,40,10240,0.9160973999969428
4939776,196608,2441216,21533487,21462,42,10752,0.9505318000010448
5111808,204800,2588672,22025007,22484,44,11264,0.98585899999307
5292032,212992,2760704,22573871,23506,46,11776,1.4949379000026966
5447680,212992,2916352,23032623,24528,48,12288,0.9704390999977477
5627904,221184,3063808,23532335,25550,50,12800,0.9037905000004685
5857280,229376,3186688,24130351,26572,52,13312,2.289893999986816
6070272,229376,3186688,24572719,27594,54,13824,1.6302877999987686
6275072,237568,3186688,24982319,28616,56,14336,1.2443672999943374
6447104,245760,3186688,25326383,29638,58,14848,1.1111573000089265
6619136,245760,3235840,25703215,30660,60,15360,1.0013661999983015
6799360,253952,3407872,26243887,31682,62,15872,1.1272948999976506
6979584,262144,3571712,26751791,32704,64,16384,1.0905433000007179
7151616,262144,3571712,27112239,33726,66,16896,0.8960420999937924
7315456,270336,3579904,27448111,34748,68,17408,0.8853258000017377
7503872,278528,3612672,27841327,35770,70,17920,0.8992830000061076
7675904,278528,3776512,28357423,36792,72,18432,0.8739375000004657
7856128,286720,3956736,28873519,37814,74,18944,0.9432985999883385
8036352,327680,4128768,29463343,38836,76,19456,0.8592630000057397
9265152,327680,4300800,32060207,39858,78,19968,0.8714636000077007
9437184,335872,4481024,32584495,40880,80,20480,0.9397062000061851
9617408,344064,4636672,33108783,41902,82,20992,1.0732109999953536
9781248,344064,4677632,33469231,42924,84,21504,1.0075535999931162
9945088,352256,4677632,33821487,43946,86,22016,1.0660516000061762
10125312,360448,4677632,34173743,44968,88,22528,0.8870811999950092
10289152,360448,4677632,34493231,45990,90,23040,0.9426129000057699
10461184,368640,4710400,34886447,47012,92,23552,1.870429900009185
10641408,376832,4857856,35386159,48034,94,24064,0.8590805999992881
10797056,376832,5005312,35869487,49056,96,24576,0.8785609000042314
10977280,385024,5160960,36369199,50078,98,25088,1.1014010000071721
11157504,393216,5324800,36885295,51100,100,25600,0.964392299996689
11419648,393216,5349376,37409583,52122,102,26112,0.8612405000021681
11673600,401408,5349376,37901103,53144,104,26624,1.0704149999946821
11894784,409600,5349376,38384431,54166,106,27136,0.9465686000039568
12083200,409600,5357568,38777647,55188,108,27648,0.9738977000088198
12263424,417792,5455872,39220015,56210,110,28160,1.0119476999971084
12451840,425984,5603328,39752495,57232,112,28672,0.8836362000001827
12640256,425984,5758976,40260399,58254,114,29184,0.9940673999954015
12820480,434176,5939200,40817455,59276,116,29696,0.9979268999886699
13008896,442368,6103040,41325359,60298,118,30208,0.8852233000070555
13189120,442368,6266880,41833263,61320,120,30720,0.8667025999893667
13361152,450560,6430720,42357551,62342,122,31232,1.0765376000053948
13541376,458752,6610944,42881839,63364,124,31744,0.9291964000003645
13697024,458752,6807552,43422511,64386,126,32256,0.8968839000008302
13869056,466944,6995968,43946799,65408,128,32768,0.9195964000100503
14049280,475136,7192576,44495663,66430,130,33280,1.0197296000114875
14213120,475136,7389184,45036335,67452,132,33792,0.8711353999970015
14376960,483328,7561216,45527855,68474,134,34304,0.8844280000048457
14548992,491520,7725056,46060335,69496,136,34816,0.9378608999977587
14721024,491520,7790592,46461743,70518,138,35328,1.9822468999918783
14901248,499712,7790592,46805807,71540,140,35840,0.9852184999908786
15081472,507904,7790592,47166255,72562,142,36352,0.9997749000031035
15245312,507904,7790592,47502127,73584,144,36864,0.8575736000057077
15425536,516096,7790592,47870767,74606,146,37376,0.9040624000044772
15605760,524288,7806976,48223023,75628,148,37888,0.854361500008963
15777792,524288,7831552,48583471,76650,150,38400,1.9168601999990642
15949824,540672,7831552,48960303,77672,152,38912,0.879403499988257
16130048,548864,7913472,51475247,78694,154,39424,0.8975086999998894
18407424,548864,8060928,54096687,79716,156,39936,0.8949910999945132
